aligned_name,taxon_name,taxon_rank,taxonomic_status,taxonomic_dataset,taxon_name_alternatives,genus,family,binomial,trinomial,taxon_distribution,establishment_means,scientific_name,taxon_id,taxon_id_genus,taxon_id_family,scientific_name_id,aligned_name_taxon_id,aligned_name_taxonomic_status
Daviesia croniniana,Daviesia croniniana,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia croniniana,NA,WA,native,Daviesia croniniana F.Muell.,https://id.biodiversity.org.au/node/apni/2897420,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82514,https://id.biodiversity.org.au/node/apni/2897420,accepted
Daviesia cunderdin,Daviesia cunderdin,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia cunderdin,NA,WA,native,Daviesia cunderdin Crisp & G.Chandler,https://id.biodiversity.org.au/node/apni/2905232,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/154932,https://id.biodiversity.org.au/node/apni/2905232,accepted
Daviesia daphnoides,Daviesia daphnoides,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia daphnoides,NA,WA,native,Daviesia daphnoides Meisn.,https://id.biodiversity.org.au/node/apni/2898335,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82522,https://id.biodiversity.org.au/node/apni/2898335,accepted
Daviesia debilior,Daviesia debilior,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia debilior,NA,WA,native,Daviesia debilior Crisp,https://id.biodiversity.org.au/node/apni/2889582,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82524,https://id.biodiversity.org.au/node/apni/2889582,accepted
Daviesia decipiens,Daviesia decipiens,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia decipiens,NA,WA,native,Daviesia decipiens (E.Pritz.) Crisp,https://id.biodiversity.org.au/node/apni/2902508,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139361,https://id.biodiversity.org.au/node/apni/2902508,accepted
Daviesia decurrens,Daviesia decurrens,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia decurrens,NA,WA,native,Daviesia decurrens Meisn.,https://id.biodiversity.org.au/taxon/apni/51435886,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82533,https://id.biodiversity.org.au/taxon/apni/51435886,accepted
Daviesia devito,Daviesia devito,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia devito,NA,"SA, NSW, Vic",native,Daviesia devito Crisp & L.G.Cook,https://id.biodiversity.org.au/taxon/apni/51449946,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/8915289,https://id.biodiversity.org.au/taxon/apni/51449946,accepted
Daviesia benthamii subsp. humilis,Daviesia devito,species,accepted,APC,Daviesia aphylla (pro parte misapplied) | Daviesia schwarzenegger (pro parte misapplied),Daviesia,Fabaceae,Daviesia devito,NA,"SA, NSW, Vic",native,Daviesia devito Crisp & L.G.Cook,https://id.biodiversity.org.au/taxon/apni/51449946,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/8915289,NA,NA
Daviesia dielsii,Daviesia dielsii,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia dielsii,NA,WA,native,Daviesia dielsii E.Pritz.,https://id.biodiversity.org.au/node/apni/2910290,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82549,https://id.biodiversity.org.au/node/apni/2910290,accepted
Daviesia dilatata,Daviesia dilatata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia dilatata,NA,WA,native,Daviesia dilatata Crisp,https://id.biodiversity.org.au/node/apni/2900998,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139372,https://id.biodiversity.org.au/node/apni/2900998,accepted
Daviesia discolor,Daviesia discolor,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia discolor,NA,Qld,native,Daviesia discolor Pedley,https://id.biodiversity.org.au/node/apni/2899725,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82556,https://id.biodiversity.org.au/node/apni/2899725,accepted
Daviesia divaricata,Daviesia divaricata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia divaricata,NA,WA,native,Daviesia divaricata Benth.,https://id.biodiversity.org.au/taxon/apni/51435902,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82564,https://id.biodiversity.org.au/taxon/apni/51435902,accepted
Daviesia elliptica,Daviesia elliptica,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia elliptica,NA,"Qld, NSW",native,Daviesia elliptica Crisp,https://id.biodiversity.org.au/node/apni/2914713,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/117407,https://id.biodiversity.org.au/node/apni/2914713,accepted
Daviesia elongata,Daviesia elongata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia elongata,NA,WA,native,Daviesia elongata Benth.,https://id.biodiversity.org.au/taxon/apni/51435920,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82587,https://id.biodiversity.org.au/taxon/apni/51435920,accepted
Daviesia emarginata,Daviesia emarginata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia emarginata,NA,WA,native,Daviesia emarginata (Miq.) Crisp,https://id.biodiversity.org.au/node/apni/2919047,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139070,https://id.biodiversity.org.au/node/apni/2919047,accepted
Daviesia epiphylla,Daviesia epiphyllum,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia epiphyllum,NA,WA,native,Daviesia epiphyllum Meisn.,https://id.biodiversity.org.au/node/apni/2900659,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82597,https://id.biodiversity.org.au/instance/apni/818372,orthographic variant
Daviesia epiphyllum,Daviesia epiphyllum,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia epiphyllum,NA,WA,native,Daviesia epiphyllum Meisn.,https://id.biodiversity.org.au/node/apni/2900659,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82597,https://id.biodiversity.org.au/node/apni/2900659,accepted
Daviesia eremaea,Daviesia eremaea,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia eremaea,NA,"WA, NT",native,Daviesia eremaea Crisp,https://id.biodiversity.org.au/node/apni/2900891,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82607,https://id.biodiversity.org.au/node/apni/2900891,accepted
Daviesia euphorbioides,Daviesia euphorbioides,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia euphorbioides,NA,WA,native,Daviesia euphorbioides Benth.,https://id.biodiversity.org.au/node/apni/2918417,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82626,https://id.biodiversity.org.au/node/apni/2918417,accepted
Daviesia eurylobos,Daviesia eurylobos,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia eurylobos,NA,WA,native,Daviesia eurylobos Crisp & G.Chandler,https://id.biodiversity.org.au/node/apni/2889832,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/152699,https://id.biodiversity.org.au/node/apni/2889832,accepted
Daviesia filipes,Daviesia filipes,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia filipes,NA,Qld,native,Daviesia filipes Benth.,https://id.biodiversity.org.au/taxon/apni/51435910,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82639,https://id.biodiversity.org.au/taxon/apni/51435910,accepted
Daviesia flava,Daviesia flava,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia flava,NA,Qld,native,Daviesia flava Pedley,https://id.biodiversity.org.au/node/apni/2908138,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82647,https://id.biodiversity.org.au/node/apni/2908138,accepted
Daviesia flexuosa,Daviesia flexuosa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia flexuosa,NA,WA,native,Daviesia flexuosa Benth.,https://id.biodiversity.org.au/node/apni/2886563,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82657,https://id.biodiversity.org.au/node/apni/2886563,accepted
Daviesia genistifolia,Daviesia genistifolia,species,accepted,APC,Daviesia aphylla (pro parte misapplied) | Daviesia asperula subsp. asperula (pro parte misapplied) | Daviesia devito (pro parte misapplied) | Daviesia aphylla (misapplied),Daviesia,Fabaceae,Daviesia genistifolia,NA,"SA, Qld, NSW, ACT, Vic",native,Daviesia genistifolia A.Cunn. ex Benth.,https://id.biodiversity.org.au/taxon/apni/51285530,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82666,NA,NA
Daviesia glossosema,Daviesia glossosema,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia glossosema,NA,WA,native,Daviesia glossosema Crisp,https://id.biodiversity.org.au/node/apni/2902104,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/154777,https://id.biodiversity.org.au/node/apni/2902104,accepted
Daviesia gracilis,Daviesia gracilis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia gracilis,NA,WA,native,Daviesia gracilis Crisp,https://id.biodiversity.org.au/node/apni/8506340,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82702,https://id.biodiversity.org.au/node/apni/8506340,accepted
Daviesia juncea,Daviesia gracilis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia gracilis,NA,WA,native,Daviesia gracilis Crisp,https://id.biodiversity.org.au/node/apni/8506340,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82702,https://id.biodiversity.org.au/instance/apni/8506334,nomenclatural synonym
Daviesia grahamii,Daviesia grahamii,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia grahamii,NA,WA,native,Daviesia grahamii Ewart & Jean White,https://id.biodiversity.org.au/node/apni/2909328,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82710,https://id.biodiversity.org.au/node/apni/2909328,accepted
Daviesia grossa,Daviesia grossa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia grossa,NA,WA,native,Daviesia grossa Crisp,https://id.biodiversity.org.au/node/apni/2905362,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/154778,https://id.biodiversity.org.au/node/apni/2905362,accepted
Daviesia hakeoides,Daviesia hakeoides,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia hakeoides,NA,WA,native,Daviesia hakeoides Meisn.,https://id.biodiversity.org.au/node/apni/2887923,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82720,https://id.biodiversity.org.au/node/apni/2887923,accepted
Daviesia horrida,Daviesia horrida,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia horrida,NA,WA,native,Daviesia horrida Preiss ex Meisn.,https://id.biodiversity.org.au/node/apni/2899364,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82781,https://id.biodiversity.org.au/node/apni/2899364,accepted
Daviesia elongata subsp. implexa,Daviesia implexa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia implexa,NA,WA,native,Daviesia implexa (Crisp) Crisp,https://id.biodiversity.org.au/taxon/apni/51435922,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/8900156,https://id.biodiversity.org.au/instance/apni/51435917,nomenclatural synonym
Daviesia implexa,Daviesia implexa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia implexa,NA,WA,native,Daviesia implexa (Crisp) Crisp,https://id.biodiversity.org.au/taxon/apni/51435922,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/8900156,https://id.biodiversity.org.au/taxon/apni/51435922,accepted
Daviesia incrassata,Daviesia incrassata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia incrassata,NA,WA,native,Daviesia incrassata Sm.,https://id.biodiversity.org.au/node/apni/8505665,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82800,https://id.biodiversity.org.au/node/apni/8505665,accepted
Daviesia inflata,Daviesia inflata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia inflata,NA,WA,native,Daviesia inflata Crisp,https://id.biodiversity.org.au/taxon/apni/51435924,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82858,https://id.biodiversity.org.au/taxon/apni/51435924,accepted
Daviesia intricata,Daviesia intricata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia intricata,NA,WA,native,Daviesia intricata Crisp,https://id.biodiversity.org.au/node/apni/2914428,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/142095,https://id.biodiversity.org.au/node/apni/2914428,accepted
Daviesia laevis,Daviesia laevis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia laevis,NA,Vic,native,Daviesia laevis Crisp,https://id.biodiversity.org.au/taxon/apni/51435926,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/117415,https://id.biodiversity.org.au/taxon/apni/51435926,accepted
Daviesia lancifolia,Daviesia lancifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia lancifolia,NA,WA,native,Daviesia lancifolia Turcz.,https://id.biodiversity.org.au/node/apni/2919982,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82895,https://id.biodiversity.org.au/node/apni/2919982,accepted
Daviesia latifolia,Daviesia latifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia latifolia,NA,"Qld, NSW, Vic, Tas",native,Daviesia latifolia R.Br.,https://id.biodiversity.org.au/node/apni/2914635,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82908,https://id.biodiversity.org.au/node/apni/2914635,accepted
Daviesia laxiflora,Daviesia laxiflora,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia laxiflora,NA,Vic,native,Daviesia laxiflora (J.H.Willis) Crisp,https://id.biodiversity.org.au/node/apni/2894914,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/117410,https://id.biodiversity.org.au/node/apni/2894914,accepted
Daviesia leptophylla,Daviesia leptophylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia leptophylla,NA,"SA, NSW, ACT, Vic",native,Daviesia leptophylla A.Cunn. ex G.Don,https://id.biodiversity.org.au/taxon/apni/51435941,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82967,https://id.biodiversity.org.au/taxon/apni/51435941,accepted
Daviesia virgata,Daviesia leptophylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia leptophylla,NA,"SA, NSW, ACT, Vic",native,Daviesia leptophylla A.Cunn. ex G.Don,https://id.biodiversity.org.au/taxon/apni/51435941,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82967,https://id.biodiversity.org.au/instance/apni/51435929,taxonomic synonym
Daviesia lineata,Daviesia lineata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia lineata,NA,WA,native,Daviesia lineata Crisp,https://id.biodiversity.org.au/node/apni/2890130,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/121681,https://id.biodiversity.org.au/instance/apni/933103,taxonomic synonym
Daviesia localis,Daviesia localis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia localis,NA,WA,native,Daviesia localis Hislop,https://id.biodiversity.org.au/taxon/apni/51285534,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/3685639,https://id.biodiversity.org.au/taxon/apni/51285534,accepted
Daviesia longifolia,Daviesia longifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia longifolia,NA,WA,native,Daviesia longifolia Benth.,https://id.biodiversity.org.au/node/apni/2905466,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83004,https://id.biodiversity.org.au/node/apni/2905466,accepted
Daviesia major,Daviesia major,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia major,NA,WA,native,Daviesia major (Benth.) Crisp,https://id.biodiversity.org.au/node/apni/2912874,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/154550,https://id.biodiversity.org.au/node/apni/2912874,accepted
Daviesia megacalyx,Daviesia megacalyx,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia megacalyx,NA,WA,native,Daviesia megacalyx Crisp,https://id.biodiversity.org.au/node/apni/2905192,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139371,https://id.biodiversity.org.au/node/apni/2905192,accepted
Daviesia mesophylla,Daviesia mesophylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia mesophylla,NA,WA,native,Daviesia mesophylla Ewart,https://id.biodiversity.org.au/node/apni/2906797,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83036,https://id.biodiversity.org.au/node/apni/2906797,accepted
Daviesia microcarpa,Daviesia microcarpa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia microcarpa,NA,WA,native,Daviesia microcarpa Crisp,https://id.biodiversity.org.au/node/apni/2906376,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/138899,https://id.biodiversity.org.au/node/apni/2906376,accepted
Daviesia microphylla,Daviesia microphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia microphylla,NA,WA,native,Daviesia microphylla Benth.,https://id.biodiversity.org.au/node/apni/2891723,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83049,https://id.biodiversity.org.au/node/apni/2891723,accepted
Daviesia mimosoides,Daviesia mimosoides,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia mimosoides,NA,"Qld, NSW, ACT, Vic",native,Daviesia mimosoides R.Br.,https://id.biodiversity.org.au/node/apni/2894511,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83060,https://id.biodiversity.org.au/node/apni/2894511,accepted
Daviesia mollis,Daviesia mollis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia mollis,NA,WA,native,Daviesia mollis Turcz.,https://id.biodiversity.org.au/node/apni/2898229,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83107,https://id.biodiversity.org.au/node/apni/2898229,accepted
Daviesia nematophylla,Daviesia nematophylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia nematophylla,NA,WA,native,Daviesia nematophylla F.Muell. ex Benth.,https://id.biodiversity.org.au/node/apni/2912647,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83132,https://id.biodiversity.org.au/node/apni/2912647,accepted
Daviesia newbeyi,Daviesia newbeyi,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia newbeyi,NA,WA,native,Daviesia newbeyi Crisp,https://id.biodiversity.org.au/node/apni/2899281,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/117385,https://id.biodiversity.org.au/node/apni/2899281,accepted
Daviesia nova-anglica,Daviesia nova-anglica,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia nova-anglica,NA,NSW,native,Daviesia nova-anglica Crisp,https://id.biodiversity.org.au/node/apni/2919840,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/118100,https://id.biodiversity.org.au/node/apni/2919840,accepted
Daviesia nudiflora,Daviesia nudiflora,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia nudiflora,NA,WA,native,Daviesia nudiflora Meisn.,https://id.biodiversity.org.au/taxon/apni/51251009,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83145,https://id.biodiversity.org.au/taxon/apni/51251009,accepted
Daviesia obovata,Daviesia obovata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia obovata,NA,WA,native,Daviesia obovata Turcz.,https://id.biodiversity.org.au/node/apni/2889066,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83174,https://id.biodiversity.org.au/node/apni/2889066,accepted
Daviesia oppositifolia,Daviesia oppositifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia oppositifolia,NA,WA,native,Daviesia oppositifolia Endl.,https://id.biodiversity.org.au/node/apni/2905159,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83209,https://id.biodiversity.org.au/node/apni/2905159,accepted
Daviesia ovata,Daviesia ovata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia ovata,NA,WA,native,Daviesia ovata Benth.,https://id.biodiversity.org.au/node/apni/2894923,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83218,https://id.biodiversity.org.au/node/apni/2894923,accepted
Daviesia oxyclada,Daviesia oxyclada,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia oxyclada,NA,WA,native,Daviesia oxyclada Crisp,https://id.biodiversity.org.au/node/apni/2899498,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/133656,https://id.biodiversity.org.au/node/apni/2899498,accepted
Daviesia oxylobium,Daviesia oxylobium,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia oxylobium,NA,WA,native,Daviesia oxylobium Crisp,https://id.biodiversity.org.au/node/apni/2902332,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139072,https://id.biodiversity.org.au/node/apni/2902332,accepted
Daviesia pachyloma,Daviesia pachyloma,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia pachyloma,NA,WA,native,Daviesia pachyloma Turcz.,https://id.biodiversity.org.au/node/apni/2903582,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/138966,https://id.biodiversity.org.au/node/apni/2903582,accepted
Daviesia pachyphylla,Daviesia pachyphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia pachyphylla,NA,WA,native,Daviesia pachyphylla F.Muell.,https://id.biodiversity.org.au/node/apni/2908933,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83243,https://id.biodiversity.org.au/node/apni/2908933,accepted
Daviesia pauciflora,Daviesia pauciflora,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia pauciflora,NA,WA,native,Daviesia pauciflora Crisp,https://id.biodiversity.org.au/node/apni/2889934,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/117366,https://id.biodiversity.org.au/node/apni/2889934,accepted
Daviesia pectinata,Daviesia pectinata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia pectinata,NA,"SA, Vic",native,Daviesia pectinata Lindl.,https://id.biodiversity.org.au/node/apni/2906277,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83285,https://id.biodiversity.org.au/node/apni/2906277,accepted
Daviesia pedunculata,Daviesia pedunculata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia pedunculata,NA,WA,native,Daviesia pedunculata Benth. ex Lindl.,https://id.biodiversity.org.au/node/apni/2903182,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83313,https://id.biodiversity.org.au/node/apni/2903182,accepted
Daviesia physodes,Daviesia physodes,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia physodes,NA,WA,native,Daviesia physodes A.Cunn. ex G.Don,https://id.biodiversity.org.au/node/apni/2895473,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/83362,https://id.biodiversity.org.au/node/apni/2895473,accepted
