species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Aciphylla glacialis,2,7,e,9,HiElev,HiWat,5,ag9HiElev5,7,9,16,NA,NA,NA,NA,791.6,67.1416,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,13,d,9,HiElev,LoWat,6,ag9HiElev6,7,1,8,0.825129252,0.00683043,0.270147233,0.009858858,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,14,d,10,HiElev,LoWat,1,ag10HiElev1,NA,NA,NA,5.039811748,0.081793902,4.854605355,0.086586197,290.5,82.2946,3.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,1,a,10,HiElev,HiWat,2,ag10HiElev2,6,9,15,4.913875785,0.10916979,5.543615234,0.101107639,671.5,77.3618,3.3,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,1,c,10,HiElev,HiWat,5,ag10HiElev5,16,3,19,8.955536177,0.210484721,12.26538775,0.123738893,1380,66.3143,2.8,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,11,a,10,HiElev,LoWat,6,ag10HiElev6,7,NA,7,0.766276779,0.015254637,8.767577151,0.040926613,87.4,78.7387,2.1,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,7,d,10,HiElev,HiWat,7,ag10HiElev7,8,6,14,1.797987084,0.020409789,2.986736916,0.031249689,1022,65.3453,4.5,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,10,d,11,HiElev,HiWat,2,ag11HiElev2,8,8,16,7.276484735,0.157207515,4.91985436,0.09382836,390.5,69.2376,2.8,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,5,g,11,HiElev,LoWat,3,ag11HiElev3,NA,NA,NA,3.009856047,0.074389784,0.092263,0.004077809,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,4,e,11,HiElev,HiWat,5,ag11HiElev5,10,6,16,14.13245374,0.35505413,14.33983686,0.500262805,355.4,89.0727,3.6,26-Nov-11,16-Dec-11
